Unit Number,Customer Unit Number,Customer Name,Unit Type,VIN Number,Model Year,Vehicle Make,Vehicle Model,Submodel,Eng Make,Eng Model,Eng SN,Aftertreatment Number,Oil Type,Oil Capacity,ATF,Front Brake Type,Rear Brake Type,DPF Number,SCR Number,Centrifugal,Oil Filter,Fuel Filter,Fuel/Water Seperator,Cabin Air Filter,Engine Air Filter,DEF Filter,Dryer Cartridge,Wiper Blade Length,Steer Tires, Additional Tires,Drive Tires,Static Axle Make,Static Axle P/N,Lift Axle Make,Lift Axle P/N,Liftgate Make,Liftgate Model,Liftgate SN,Liftgate Capacity,Liftgate Power/Gravity Down,Reefer Make,Reefer Model,Reefer SN,Reefer Oil Filter,Reefer Fuel Filter,Reefer Second Fuel Filter,Reefer Air Filter,Reefer Belt1,Reefer Belt2,Reefer Belt3,Reefer Belt4,APU Make,APU Model,APU SN,APU Oil Filter,APU Fuel Filter,APU Air Filter,Body Manufacturer,Body Style,Body S/N,Door Manufacturer,Door S/N
272253,,Ancon Marine,FSL,2NP2HJ6X7FM292245,2015,Peterbilt,337,,Cummins,ISL,73779174,,,,,,,A040U854,A041W611,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS1003FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272254,,,Rental,JALE5W161H7900291,2017,Isuzu,NQR,,Isuzu,,,,,,,,,,,,2-94654-200-0:IZ,2-94561-104-0:IZ,8-98037-481-0:IZ,,2-94561-113-0:IZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272255,,,Rental,JALE5W163H7900017,2017,Isuzu,NQR,,Isuzu,,,,,,,,,,,,2-94654-200-0:IZ,2-94561-104-0:IZ,8-98037-481-0:IZ,,2-94561-113-0:IZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272256,,,Rental,JALE5W168H7900014,2017,Isuzu,NQR,,Isuzu,,,,,,,,,,,,2-94654-200-0:IZ,2-94561-104-0:IZ,8-98037-481-0:IZ,,2-94561-113-0:IZ,,,,,,,,,,,Maxon,,,,,Carrier,Supra 860,SFL91508510,,,,,50-01180-53,50-01180-08,50-01180-50,50-60329-04,,,,,,,,,,,
272257,,,CM,2NP2HM6X5JM460314,2018,Peterbilt,337,,Cummins,ISB,74096376,A052T994,,,,,,,,,LF3970FLG:FG,FF63054NNFLG:FG,FS1065FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",295/75R22.5,,295/75R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272260,,Chief Petroleum Co ,FSL,1XPBDP9X6JD461654,2018,Peterbilt,579,,Paccar,MX13-17,Y133482,A052U920,,,,,,,,1922496PE:PB,2234788PE:PB,2277129PE:PB,K37-1012:PB,SR2000092:PB,P621725:DF,,,"22""",275/80R22.5,,275/80R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272261,,,Rental,2NP2HJ6X8JM465554,2018,Peterbilt,337,,Cummins,ISL,74120342,A052T994,,,,,,,,,LF14009NNFLG:FG,FF63054NNFLG:FG,FS1003FLG:FG,5X013817:R29,RS2863JAB:BF,,,"16""",295/75R22.5,,295/75R22.5,,,,,Maxon,GPTWR,,3000,Power,Carrier,Supra 960,SFN91514466,30-60143-01,30-01090-05,,30-60049-20,,,,,,,,,,,Supreme,Box,H0210598,Whiting,RD00090623-0-2-4
272262,,"All Recycling North, LLC",FSL,1XPCD49X8JD468785,2018,Peterbilt,567,,Cummins,X15,79981403,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272263,,"All Recycling North, LLC",FSL,1XPCD49XXJD468786,2018,Peterbilt,567,,Cummins,X15,79981400,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272264,,"All Recycling North, LLC",FSL,1XPCD49X1JD468787,2018,Peterbilt,567,,Cummins,X15,79981394,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272265,,"All Recycling North, LLC",FSL,1XPCD49X3JD468788,2018,Peterbilt,567,,Cummins,X15,79981395,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272266,,"All Recycling North, LLC",FSL,1XPCD49X5JD468789,2018,Peterbilt,567,,Cummins,X15,79981399,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272267,,"All Recycling North, LLC",FSL,1XPCD49X1JD468790,2018,Peterbilt,567,,Cummins,X15,79981396,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272268,,"All Recycling, Inc. ",FSL,1XPCD49X3JD468791,2018,Peterbilt,567,,Cummins,X15,79981472,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272269,,"All Recycling, Inc. ",FSL,1XPCD49X5JD468792,2018,Peterbilt,567,,Cummins,X15,79981471,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272270,,"All Recycling, Inc. ",FSL,1XPCD49X7JD468793,2018,Peterbilt,567,,Cummins,X15,79981466,A052T699,,,,,,,,,LF14000NNFLG:FG,FF5825NNFLG:FG,FS19764FLG:FG,SR2000092:PB,P621725:DF,,,"22""",11R22.5,,11R22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
